0.1	48	0.01	1	3.91
0.1	48	0.05	1	3.89
0.1	48	0.2	1	3.81
0.1	88	0.01	1	4.21
0.1	88	0.05	1	4.15
0.1	88	0.2	1	4.11
0.1	128	0.01	1	4.31
0.1	128	0.05	1	4.26
0.1	128	0.2	1	4.05
0.1	48	0.01	1.75	4.12
0.1	48	0.1	1.75	4.05
0.1	48	0.2	1.75	4.03
0.1	88	0.01	1.75	4.22
0.1	88	0.1	1.75	4.15
0.1	88	0.2	1.75	4.125
0.1	128	0.01	1.75	4.21
0.1	128	0.1	1.75	4
0.1	128	0.2	1.75	3.92
0.1	48	0.01	2.5	4.14
0.1	48	0.15	2.5	4.01
0.1	48	0.2	2.5	4
0.1	88	0.01	2.5	4.1
0.1	88	0.15	2.5	4.07
0.1	88	0.2	2.5	4.05
0.1	128	0.01	2.5	4.2
0.1	128	0.15	2.5	4.1
0.1	128	0.2	2.5	4.15
0.5	48	0.01	1	3.23
0.5	48	0.05	1	3.2
0.5	48	0.2	1	3.1
0.5	88	0.01	1	3.81
0.5	88	0.05	1	3.76
0.5	88	0.2	1	3.71
0.5	128	0.01	1	4
0.5	128	0.05	1	4
0.5	128	0.2	1	3.9
0.5	48	0.01	1.75	3.41
0.5	48	0.1	1.75	3.37
0.5	48	0.2	1.75	3.31
0.5	88	0.01	1.75	3.81
0.5	88	0.1	1.75	3.76
0.5	88	0.2	1.75	3.73
0.5	128	0.01	1.75	4.08
0.5	128	0.1	1.75	3.95
0.5	128	0.2	1.75	3.73
0.5	48	0.01	2.5	3.33
0.5	48	0.15	2.5	3.25
0.5	48	0.2	2.5	3.21
0.5	88	0.01	2.5	3.72
0.5	88	0.15	2.5	3.63
0.5	88	0.2	2.5	3.61
0.5	128	0.01	2.5	3.82
0.5	128	0.15	2.5	3.75
0.5	128	0.2	2.5	3.73
0.9	48	0.01	1	2.31
0.9	49	0.05	1	2.3
0.9	48	0.2	1	2.26
0.9	88	0.01	1	3.17
0.9	88	0.05	1	3.1
0.9	88	0.2	1	3.04
0.9	128	0.01	1	3.53
0.9	128	0.05	1	3.45
0.9	128	0.2	1	3.34
0.9	48	0.01	1.75	2.41
0.9	48	0.1	1.75	2.35
0.9	48	0.2	1.75	2.33
0.9	88	0.01	1.75	3.03
0.9	88	0.1	1.75	3
0.9	88	0.2	1.75	2.95
0.9	128	0.01	1.75	3.42
0.9	128	0.1	1.75	3.24
0.9	128	0.2	1.75	3.13
0.9	48	0.01	2.5	2.63
0.9	48	0.15	2.5	2.53
0.9	48	0.2	2.5	2.52
0.9	88	0.01	2.5	2.94
0.9	88	0.15	2.5	2.75
0.9	88	0.2	2.5	2.73
0.9	128	0.01	2.5	3.34
0.9	128	0.15	2.5	3.16
0.9	128	0.2	2.5	3.15
